State,County,Year,Observed
National,United States,2002,55.4
Alabama,Alabama,2002,40.7
Alabama,Autauga County,2002,39.4
Alabama,Baldwin County,2002,54.0
Alabama,Barbour County,2002,36.0
Alabama,Bibb County,2002,31.1
Alabama,Blount County,2002,31.9
Alabama,Bullock County,2002,34.9
Alabama,Butler County,2002,34.5
Alabama,Calhoun County,2002,38.0
Alabama,Chambers County,2002,35.5
Alabama,Cherokee County,2002,31.2
Alabama,Chilton County,2002,30.6
Alabama,Choctaw County,2002,29.5
Alabama,Clarke County,2002,33.1
Alabama,Clay County,2002,28.9
Alabama,Cleburne County,2002,29.4
Alabama,Coffee County,2002,39.4
Alabama,Colbert County,2002,32.8
Alabama,Conecuh County,2002,31.7
Alabama,Coosa County,2002,33.8
Alabama,Covington County,2002,33.5
Alabama,Crenshaw County,2002,32.0
Alabama,Cullman County,2002,32.6
Alabama,Dale County,2002,41.0
Alabama,Dallas County,2002,38.8
Alabama,DeKalb County,2002,29.8
Alabama,Elmore County,2002,40.6
Alabama,Escambia County,2002,32.5
Alabama,Etowah County,2002,36.7
Alabama,Fayette County,2002,27.0
Alabama,Franklin County,2002,26.3
Alabama,Geneva County,2002,34.2
Alabama,Greene County,2002,34.6
Alabama,Hale County,2002,33.2
Alabama,Henry County,2002,32.4
Alabama,Houston County,2002,43.1
Alabama,Jackson County,2002,29.1
Alabama,Jefferson County,2002,48.3
Alabama,Lamar County,2002,25.6
Alabama,Lauderdale County,2002,31.1
Alabama,Lawrence County,2002,25.9
Alabama,Lee County,2002,48.2
Alabama,Limestone County,2002,31.6
Alabama,Lowndes County,2002,35.8
Alabama,Macon County,2002,41.5
Alabama,Madison County,2002,45.3
Alabama,Marengo County,2002,37.1
Alabama,Marion County,2002,24.9
Alabama,Marshall County,2002,34.2
Alabama,Mobile County,2002,46.8
Alabama,Monroe County,2002,33.7
Alabama,Montgomery County,2002,47.5
Alabama,Morgan County,2002,36.8
Alabama,Perry County,2002,34.0
Alabama,Pickens County,2002,29.5
Alabama,Pike County,2002,37.4
Alabama,Randolph County,2002,34.5
Alabama,Russell County,2002,39.9
Alabama,Shelby County,2002,48.4
Alabama,St. Clair County,2002,36.4
Alabama,Sumter County,2002,33.9
Alabama,Talladega County,2002,34.8
Alabama,Tallapoosa County,2002,37.5
Alabama,Tuscaloosa County,2002,43.0
Alabama,Walker County,2002,30.5
Alabama,Washington County,2002,30.3
Alabama,Wilcox County,2002,33.2
Alabama,Winston County,2002,27.3
Alaska,Alaska,2002,58.9
Alaska,Aleutians East Borough,2002,49.9
Alaska,Aleutians West Census Area,2002,54.0
Alaska,Anchorage Municipality,2002,62.4
Alaska,Bethel Census Area,2002,32.9
Alaska,Bristol Bay Borough,2002,57.6
Alaska,"Denali Borough, Yukon-Koyukuk Census Area",2002,52.0
Alaska,Dillingham Census Area,2002,38.3
Alaska,Fairbanks North Star Borough,2002,59.6
Alaska,Haines Borough,2002,60.8
Alaska,"Hoonah-Angoon Census Area, Skagway Municipality, Yakutat City and Borough",2002,59.0
Alaska,Juneau City and Borough,2002,64.2
Alaska,Kenai Peninsula Borough,2002,60.9
Alaska,"Ketchikan Gateway Borough, Petersburg Census Area, Prince of Wales-Hyder Census Area, Wrangell City and Borough",2002,58.6
Alaska,Kodiak Island Borough,2002,56.2
Alaska,Lake and Peninsula Borough,2002,44.5
Alaska,Matanuska-Susitna Borough,2002,56.9
Alaska,Nome Census Area,2002,38.9
Alaska,North Slope Borough,2002,39.4
Alaska,Northwest Arctic Borough,2002,36.6
Alaska,Sitka City and Borough,2002,62.5
Alaska,Southeast Fairbanks Census Area,2002,52.4
Alaska,Valdez-Cordova Census Area,2002,60.4
Alaska,Wade Hampton Census Area,2002,27.4
Arizona,Apache County,2002,35.4
Arizona,Arizona,2002,60.3
Arizona,Cochise County,2002,54.0
Arizona,Coconino County,2002,59.8
Arizona,Gila County,2002,51.2
Arizona,Graham County,2002,36.9
Arizona,Greenlee County,2002,48.5
Arizona,La Paz County,2002,57.5
Arizona,Maricopa County,2002,61.7
Arizona,Mohave County,2002,62.3
Arizona,Navajo County,2002,40.8
Arizona,Pima County,2002,62.8
Arizona,Pinal County,2002,54.8
Arizona,Santa Cruz County,2002,54.2
Arizona,Yavapai County,2002,61.7
Arizona,Yuma County,2002,55.3
Arkansas,Arkansas,2002,41.8
Arkansas,Arkansas County,2002,42.6
Arkansas,Ashley County,2002,33.0
Arkansas,Baxter County,2002,49.9
Arkansas,Benton County,2002,48.5
Arkansas,Boone County,2002,38.4
Arkansas,Bradley County,2002,30.9
Arkansas,Calhoun County,2002,32.8
Arkansas,Carroll County,2002,43.6
Arkansas,Chicot County,2002,35.0
Arkansas,Clark County,2002,37.3
Arkansas,Clay County,2002,34.6
Arkansas,Cleburne County,2002,43.7
Arkansas,Cleveland County,2002,35.2
Arkansas,Columbia County,2002,34.4
Arkansas,Conway County,2002,41.1
Arkansas,Craighead County,2002,38.2
Arkansas,Crawford County,2002,36.5
Arkansas,Crittenden County,2002,40.4
Arkansas,Cross County,2002,34.1
Arkansas,Dallas County,2002,32.6
Arkansas,Desha County,2002,36.0
Arkansas,Drew County,2002,35.2
Arkansas,Faulkner County,2002,43.9
Arkansas,Franklin County,2002,40.1
Arkansas,Fulton County,2002,36.8
Arkansas,Garland County,2002,51.4
Arkansas,Grant County,2002,34.5
Arkansas,Greene County,2002,35.8
Arkansas,Hempstead County,2002,34.9
Arkansas,Hot Spring County,2002,36.8
Arkansas,Howard County,2002,31.8
Arkansas,Independence County,2002,35.9
Arkansas,Izard County,2002,37.1
Arkansas,Jackson County,2002,36.3
Arkansas,Jefferson County,2002,39.8
