Year,State,County,Observed
2004.0,Alaska,Anchorage,"I and two of my friends were bored one night so we decided to do a little snowmachining. Though it was illegal to snowmachine in Anchorage, there were some good trails to ride on a little north of my house."
2003.0,Alaska,Anchorage,"Me and a couple of friends had been bored, when I decided we should take a walk through the woods behind my house. I didn't think much of it, as me and my friend have done it many times before. There were four of us, and we set out at about 11 o'clock at night. It was rather dark, but there was light from the moon. The weather was rather cold, as we did this in the winter. The area we walked on was game trails (trails that moose walk on) as well as trails used for mushers, runners, cross country skiiers, and that sort. We had walked about 2 miles from my house to another entrance where most people enter. On the way we had talked about unexplainable events or things such as bigfoot, and UFOs. When we reached the bridge where most people come in, one friend had smoked a cigarette. We then saw a light and decided to go on. On the way back, we heard wild dogs barking wildly, and decided to pick up the speed. It eventually became a sprint, whereafter we walked. When we walked, we continued talking about it. It was then I had realized, some thing had been following us, as well as testing us, or even harassing us. It was much earlier, I just didnt think about it. I had thought it was my friend Warren, who is sometimes clumsy. I had thought it was him who had made noises such as slipping, but it was really something throwing stuff at us. I had realized this about half way back. I asked if Warren kept slipping, when he told me it wasn't, and he thought I could have been pulling a prank. We stopped for a minute to listen when I told the others something strange was going on. We stopped, and shone a flashlight around, hearing noises such as steps, and branches moving and breaking. The leader had thought I had been playing a joke when I told him seriously, I wasn't. He decided to walk behind with me, when something threw snowballs, and nearly hit us on many occasions. It was then he realized that this was no joke, and we picked up a light jog, for most of the way. When we were almost out of the woods, we had again heard dogs, and maybe 20 ft away, the branches breaking, and again, something throwing stuff at us. By the time we left, it was about 3-3:30 in the morning. I did not go directly to my house because I didn't know if it was still following us. I know this was not a prank because the snow is more then 5 ft deep in the woods, and someone would have a extremely hard time to play a prank like that."
2004.0,Alaska,Bristol Bay,"To whom it may concern, I am a commercial fisherman in Alaska and have been doing so since 1970. I am an avid outdoorsman, hunter and someone who just loves to get out there. Every year after fishing, I try to take a trip up river with a friend or two to wind down and enjoy ourselves before we go home. This year while I was on this trip into Alaska's interior our main mission was to take pictures of bears and the surrounding wildlife to promote a new bear viewing and sports fishing buisness. While on our five day trip, we spotted more than fourty bears. I took hundrends of pictures of these bears and their tracks."
2009.0,Alaska,Fairbanks,"It was the month of July, 2009 in Fairbanks Alaska.  I was heading south on Auburn Dr toward Farmers Loop which was about 1 mile away.  It is a wooded area frequented by homes and in general would be considered a populated area.  Houses are on an average of about 100 to 200 feet apart with only the general area around and close to the homes cleared out.  Most of the area by far is wooded.  It was the section of the road where it passes by Pearl Creek Elementary school.  The school can be seen through the woods.  Some of the woods in the area are quite thick and in some places cant be seen into more than about 10 or 15 feet.  But in this area, it had apparently been cleaned out quite a bit and sightlines into the section of the sighting were very open.  The school and vegetable garden could be seen off to the right from the road I was on.  It was about 6pm and I was heading home after a day of working on a deck I was building.  The weather was clear with the sun high in the sky.  As I was driving, I happened to notice a man standing by the right side of the road about 100 yards ahead.  It was more of an unconscious recognition.  Theres nothing unusual about a man standing on the side of the road in this area.  As I got to within about 50 yards, I looked closer.  Thats no man I said to myself (I was alone in the car).  Shortly after that, 1 or 2 seconds, he bolted into the woods towards the school.  He did it like a wild animal would do if spooked.  I didnt slow down until I got to the place where I saw him go into the woods which is where I stopped.  I could see him running away from the road and when he was into the woods about 30 yards or so, he turned left and was now running parallel to the road in the same direction I was heading.  I got a good look at him, but not his face.  I could have probably seen his face had I not been so mesmerized and had the presence of mind to look at it.  I was busy noticing other things.  His fur or hair looked to be about 3 to 4 inches all over the main part of his body.  It was a reddish rusty color.  I was mildly struck by how red it was, but it definitely had some rustyness to it.  He was about 6 feet tall and looked to weigh about 200 lbs.  He ran with a strange Hoppy kind of run.  It wasnt a limp.  With one foot he pushed off with was more a normal running move, but the other foot he pushed off with propelled him upward (about a foot or less) and forward.  I watched him until he disappeared into the woods.  There was a road about 100 yards ahead and I took off to get to it so I could turn right and in 20 yards turn right again to the road that lead to the school parking lot.  So the wooded area he was in was sort of a peninsula and he seemingly had to be in there somewhere. The woods I was looking into from that angle were quite thick and I didnt see him and havent seen him since.  A little farther up on the right was the school garden that had people in it (around 7 - 10) which Im now sorry I didnt stop to go talk to them about it."
2004.0,Alaska,Prince of Wales,"This incident happened last night just after 11pm. My daughter was home alone. She lives with a relative, who was out of town. She called me at 11:22 pm; she was terrified. She said she could hear something walking back and forth by her bedroom window. She also said she looked out the window when she first heard it, and saw ""something"" big and black, really big. She described the ""thing"" to have been about 3-4 feet above the bottom of the window. When I went down to look behind the house this morning, I stood by the window. I am 5'4"" and my eyes just reach the bottom of the window, so I figure this ""thing"" must have been 7-8 feet tall. We live in a small village of less than 500 population.  There are a lot of bushes and trees in between the houses. Their house is close to the beach, and there is forest surrounding the town. Now, I've never known my daughter to afraid of anything, but last night when I went to pick her up, she was shaking like a leaf, she was hysterical, it took me almost an hour to calm her down. I questioned her about what happened. She called me about 5 minutes after she first saw it.  She was too scared to move. When I got down there, I would not look behind the house, but she was hiding in my relative's closet. She said it was walking back and forth right behind the house. She described the footsteps as a sound that someone very large walking on two feet, kind of like a ""stomping"". My daughter is very down-to-earth, not one prone to dramatics. When I first went down there, I didn't really know what was going on, just that my daughter was scared spitless, but I would not look behind the house. When I went up to the house, my hair felt like it was standing on end, and I had goosebumps really bad. I was scared and didnt know why."
2008.0,Alaska,Southeast Fairbanks,"This is an excerpt from a short story I wrote about this hunting trip for mostly my family.  I am 64 years old and have 40+ years in law enforcement, currently serving as chief of police."
2008.0,Alaska,Southeast Fairbanks,"Around 6:45pm on April 23rd, 2008, as my son and I were coming into the US from Canada.  We were traveling west about 14 miles on the US side of the US Canada border on the Alcan highway.   My son was driving.  If you've ever driven that road, then you know how the pavement has huge dips in it, I suspect from the freezing and thawing of the foundation of soil under the pavement.  Anyway, my son was watching directly in front of the car to make sure we took the smoothest path around some upcoming heaves in the pavement.  I was watching further down the highway as I had done our entire trip from Lethbridge, AB.  My hope was to catch a glimpse of a bear, moose or some awesome wildlife or some kind.   Anyway, we were on a slight decent down a hill, making a slight left corner and about to start up the other side when I saw what I thought was a human crossing the road, may 3-tenths of a mile ahead of us and up then slight incline.  He was a tall, odd looking fellow and I joked to myself when I first saw him..  ""Well, there is sasquatch up the road"", fully expecting to see that a person had crossed from a house or something on the left-hand side of the road over to another house or something on the right hand side.  When we got to the point where the structures should have been, there was nothing..  I mean nothing.  And no sign of any human, animal or anything else on the right hand side of the road in the woods.  This thing was walking upright like a man, long arms and what looked like a long neck from the side.  It had a fairly long gape in his walk..arms swinging with each stride.  It was all one color...I described it to my wife as the color of a Carhartt rust/brown full cover-alls.  I called her first thing when we got cell coverage in Tok.  She got on the web and saw where this was not the first time a sighting happened in this very same area.  I was so glad that someone else had seen it!  I hate to say it, but he looked similar to the representations on TV and pictures!  By the way, I have always thought this whole thing was a bunch of nonsense.  If nothing else, someone was wearing a suit to make them look like the sasquatch character."
2004.0,Alaska,Southeast Fairbanks,"My daughter and I were traveling to Tok, Alaska, westbound approx. 30-45 minutes from US Customs at Alaskan/Canadian Boarder. We were towing a 27 ft. trailer and listening to music and enjoying the view. An object caught my eye standing in the treeline south of the eastbound lane. I saw something from the waist up reaching to a higher part of a white bark tree. I did a double take and slammed on the brakes and came to a complete stop. Whatever it was had its back to us and still was reaching up with its right arm. The animal was a beautiful blond/auburn coloration and appeared well groomed as I could see the waist and well developed shoulders that blended into the head. I didn't see a real neck. I made a mental note using the tree as a height measuring device. I reached for the camera and my daughter but when we left our truck the animal was gone. We returned to our truck and continued driving until we pulled into the rest stop mentioned above. I took a tape measure from the tool box and measured a similar looking white bark tree using my mental notes....The animal I saw stood at better than 9 ft with an overhead reach greater than 12 ft."
2003.0,Alabama,Blount,"I'm really not sure what I saw. I was going back to Birmingham  on interstate 59 exit 166 as I was going down the ramp to get on the interstate this is what I saw I cought something out of the corner of my eye and thought is was an owl but then I releaized that there was no branch there and when this thing looked at me I remember seeing to huge eyes  and it looked like it had it's arm leaning on a tree it was about 6 to 8 feet high and a dark color sort of a grey black blended in with the trees.  I just cought it for a few seconds.. I'm just not sure, I just know it was not an owl.."
2002.0,Alabama,Clarke,"I saw bigfoot twice in Chance, Alabama and my mom seen him also. He's been living down here far over thirty years. I'm forty seven years old and I remember riding my bicycle through there and hearing all the noise in the woods. I thought it was a big deer going through the woods until I got older. Now I know what it was if you want to see him let me know he's been there from 1980's when I was hearing him and I saw him in 1992 and 2002. One of our cousins said he thinks it was attracted to one of his horses in 2010. I know he's still there."
2008.0,Alabama,Clay,"01192008 Suspicious knocking was heard about 3:00 am as my husband was camping with  Boy Scouts  on the side of a ridge SE of Henderson Peak about 200 yds from State Rd. 281.  (topozone.com map 33° 27.85'N, 85° 52.21'W - across road from red #13 about 200 yds. ) This is just south of the Cheaha State Park line.  It was about 14 degrees with intermittent howling wind.  There were 3 sets of 2 knocks each about 100 yards north of the campsite described as a piece of firewood hitting another.  It was very loud and the knocks, though themselves rhythmic, were spaced so that the wind died down before they occurred again.   These were not little limbs hitting each other and he was not able to determine if there were any responses because of the wind.   There were no campers north of them and the only other campers on the mountain that were encountered was another Boy Scout troop camping about 4 miles away directly on Lake Chinobee.  My husband is an avid bfro.net browser (and hopeful member of a future BFRO expedition :-) who awoke and immediately felt that this was consistent with other knocking activity.  Due to the inclement conditions and not wanting to scare the younger kids in camp, he did not have a chance to follow up.  Although he didnt mention the sounds the next morning, another adult did, and with careful, roundabout questioning all other factors for the sounds were excluded (trees falling, wind, limbs hitting each other due to the wind, etc).  I am typing this since he was not sure of the cause of the sounds and was reluctant to report something that may not have been genuine (since he wasnt able to go look for tracks)."
2005.0,Alabama,Colbert,"well me and my cousin were deep in the woods deer hunting close to our little camp site when we heard some very loud popping sounds maybe 35 yards away, we froze, tried to figure out the sound but couldnt. We started walking it was getting late almost dark we started to smell something. It smelled awful deader than dead my cousin hears something walking heavy, we turn around look down the logging road and see this thing step out of the treeline, it was a good 40 to 45 yards away it had dark brown hair, walked on two legs was very big 9 to 10 feet tall and it just stood there. Out of being so scared we couldnt move either, I couldn't of shot it if I wanted to but we stared at each other for about 3 or 4 mins and when it took a step into the woods we ran. 1st time ever saw anything like that. I told some people but they laughed and asked me how much I had been drinking but I dont drink so I saw the sight and decided to get this off my chest. I've been holding for years and I havn't been deer hunting that far in the woods since."
2004.0,Alabama,Conecuh,"A BFRO Investigator is typing this report as the witness does not have computer access. This is per his statements. ""A 6-7 ft black hairy man-like creature crossed the road in front of my truck. It looked very human but had hair hanging on it down to its hands."""
2004.0,Alabama,Covington,"i had already put one report in , but i thought i would put a separte one in for this. here latly at my house both myself and my parents have heard nioses at night and in the day time around our house. once when my mom and dad were at aunt's house and it was close to dusk i heard what i thought was someone banging on my window. another time i heard what sounded like grunting out side my bedroom window. the other night while my parents and my self were out side we heard a load howl from across the road , we hear what appears to be growling and moaning to but we never see anything. the person who lives across the street says she has never heard it but she is either always gone or either has people over . in fact the other night my parents saw they hear a banging outside the back window. dad said it sounded as though someone wanted very badly to get in. my dog that is in the house never even growled. dad said that it was funny because he said that rocket (my dog) never got out from under the covers , and he heard it because dad said he felt him moving closer to him. one time while i was out feeding my cats at night i heard something running very fast across the road , i never saw anything. there have been serval times that i have heard grunting and rocks hitting the side of the house. my dogs in the back never even bark. i have 2 labs and a mix and he's huge but he never came out of his house  unless someone was out there with him at night. when me and my friend were outside talking one night we heard what sounded like breaking limbs. what ever was jumping or walking on the limbs was huge and when we walked behind the house to see known of my dogs were out and the noise stopped. then as we started back around the house it started again. but as we turned on his spot light the niose stopped. my mom said that she saw red eye crossing the road the other night but could not see anything. one after noon while my aunt , my mom and myself were walking in her small group of trees on her side of the road right in front of house. i walked on ahead and came to the fence that seperated her line from the other owner . i say what looked like one of the teepee formations , but i did not get a good look becuase it was on the other side of the fence. i am not sure that this was one of the teepee that these creature make , but i wanted to metion it."
2011.0,Alabama,Dale,"It was April of 2011. My son, daughter-in-law, wife and I had been over at my in-laws having dinner. My son and his wife and their infant son had recently moved in with us."
2012.0,Alabama,Etowa,"Well here goes....it was late evening, I stepped out to our driveway and saw something in the shadow.. It turned and stepped across the lit area and into the woods. One and a half steps, bout 8-10 feet..since then a lot more incidents bout like what I've described and there is always a rotten dead like odor. We have 12 bout acres and in the area we see this, is where we put table scraps..also there is an area where trees 6 inches in diameter are just pushed to the ground and the middle area is scratched up."
2007.0,Alabama,Franklin,"2007 I was hunting on my hunting club land,when some people were shooting guns nearby.I had been watching a greenfield that was on a powerline.The people were hooping and hollering after they shot.It was about 5pm,I had gotten disgusted and was fixen to leave.They were shooting to my far right.I could hear them talking clearly.One of them shot and let out a whoop afterwards.Thats when to my left sort of in front of me I heard a response.It was a loud long whoop,followed by a chatter.I thought it was just the echo of the person.Then it did it again,this time it was further up from my left.I began to watch the tree line and the field.Thats when I could see something on two legs walking in the pines.It was about 200 yards to my left,heading for a break in the pines.Then it stopped and crouched down.A cold chill began to run up my back.Thinking it was another hunter I stood up and began to move. It did'nt move it just sat there by a brush pile.I have been interested in bigfoot for a longtime.I began to walk towards my truck,but it still would'nt move.I returned the next day to look for sign but found nothing.The only thing I noticed was an unusual odor,kind of like a wet deer.Only thing was it had'nt rained in days.I hav'nt said anything till I found your website and saw the eyewitness account in franklin county alabama."
2012.0,Alabama,Jackson,"Saturday morning, 12/1/2012, as I was getting my deer hunting gear out of the truck at around 4:30 a.m. and about to head down the trail in the dark I heard a tree knock not too far away. So Terri (my wife) and I went back there the next afternoon to do our own Bigfoot research and also so I could further investigate some good deer sign (a lot of food for Bigfoot) and mark a few locations for future deer hunting. We no sooner left the truck and started down the mountain on an old logging road and I glanced up and to the left and there he was a couple hundred yards away just standing there partially behind a tree watching us. We got a very eery feeling and as we were trying to figure out what to do next we looked back up there and it was gone. Needless to say our walk was over and we hurredly went back to the truck and got out of there."
2012.0,Alabama,Lamar,"This is NOT a joke, I'm well known here married to a funeral home director my brother n law is a law enforcement officer. I saw it clearly crossing the road right in front of me, I'm 6'4"" so is my brother n law this creature was considerably taller than me probably 6'8"" shuffling like an orangutan but more human-like but not like a man. It was covered in long hair maybe 4-6 inches long. It was not walking but not running... quickly shuffling. The most distinguishing feature was its arms, slump shouldered and its hands were below its knees. Now here is the deal, I don't drink I don't do drugs, I'm 55 yrs old as of May this year, have three grandbabies and two sons. I'm a christian and have NEVER, EVER, believed in bigfoot. I don't know what this was but i do know this.... it was NOT human, no costume but not 100 percent animal. I SAW IT CLEARLY MYSELF.  Please take this seriously! I don't care if you contact me personally or not but please check this thing out there is something out there i saw it myself. Is it ""bigfoot"" I've no idea but its something... thank you for your time"
2007.0,Alabama,Lee,First of all I would like to say that I am a city girl and educated in medical science and not familiar with such things as Big Foot.
2002.0,Alabama,Lee,"One evening my wife and I decided to go to my hunting club property to a place where we used to go sit and talk. We got there just before dark and had been there for several hours when it happened. The place where we were is on a large power transmission line right of way.There is a small stream that crosses the clearing, and a very steep hill on the side where we parked. In fact, so steep that it is difficult to drive a four wheel drive down to the stream. On the other side of the stream there is a low level spot that then becomes another steep hill. I would say that the hills are a good 50 feet higher than the stream."
