year,state,avg_alcohol_consumption,bigfoot_sightings
2002.0,ALABAMA,35.275,2
2002.0,ARKANSAS,37.34342105263158,4
2002.0,CALIFORNIA,58.46440677966102,15
2002.0,COLORADO,62.665573770491804,5
2002.0,FLORIDA,50.80882352941177,2
2002.0,ILLINOIS,51.13106796116505,1
2002.0,INDIANA,48.061290322580646,2
2002.0,KENTUCKY,23.660330578512397,1
2002.0,MICHIGAN,59.339285714285715,6
2002.0,MINNESOTA,64.13068181818181,1
2002.0,MISSOURI,46.175000000000004,2
2002.0,NEW JERSEY,61.32272727272727,1
2002.0,NEW MEXICO,51.779411764705884,3
2002.0,NEW YORK,61.22539682539682,9
2002.0,NORTH CAROLINA,38.18316831683168,2
2002.0,OHIO,51.155056179775286,10
2002.0,OKLAHOMA,37.84487179487179,3
2002.0,OREGON,57.01081081081081,12
2002.0,SOUTH CAROLINA,41.45744680851064,2
2002.0,TENNESSEE,25.870833333333334,2
2002.0,TEXAS,44.537254901960786,6
2002.0,UTAH,28.85,1
2002.0,VIRGINIA,46.98461538461538,2
2002.0,WASHINGTON,57.592499999999994,26
2002.0,WEST VIRGINIA,33.885714285714286,2
2002.0,WISCONSIN,67.73424657534245,2
2002.0,WYOMING,58.74583333333334,3
2003.0,ALABAMA,36.88970588235294,3
2003.0,ALASKA,53.15416666666667,1
2003.0,ARIZONA,54.1375,1
2003.0,ARKANSAS,40.069736842105264,3
2003.0,CALIFORNIA,59.855932203389834,22
2003.0,COLORADO,63.70655737704918,1
2003.0,DELAWARE,58.0,1
2003.0,FLORIDA,52.60735294117647,7
2003.0,GEORGIA,40.314375,4
2003.0,IDAHO,48.60222222222222,3
2003.0,ILLINOIS,52.376699029126215,3
2003.0,INDIANA,49.13548387096775,1
2003.0,KANSAS,47.055660377358485,2
2003.0,KENTUCKY,26.993388429752066,4
2003.0,LOUISIANA,42.49230769230769,1
2003.0,MARYLAND,58.088,1
2003.0,MICHIGAN,60.28809523809524,4
2003.0,MISSOURI,46.60431034482759,3
2003.0,MONTANA,61.24035087719298,1
2003.0,NEBRASKA,56.878723404255325,1
2003.0,NEW HAMPSHIRE,66.68181818181819,2
2003.0,NEW JERSEY,62.48181818181818,2
2003.0,NEW MEXICO,52.5,1
2003.0,NEW YORK,62.25873015873016,3
2003.0,NORTH CAROLINA,39.55841584158416,1
2003.0,OHIO,52.105617977528084,10
2003.0,OKLAHOMA,40.30128205128205,4
2003.0,OREGON,58.28378378378378,9
2003.0,PENNSYLVANIA,57.63235294117647,1
2003.0,SOUTH CAROLINA,43.16382978723404,2
2003.0,SOUTH DAKOTA,59.3179104477612,3
2003.0,TENNESSEE,28.829166666666666,4
2003.0,TEXAS,46.512549019607846,9
2003.0,UTAH,29.313333333333333,1
2003.0,VIRGINIA,48.106923076923074,5
2003.0,WASHINGTON,58.925,15
2003.0,WEST VIRGINIA,34.38035714285714,2
2003.0,WISCONSIN,68.54657534246574,3
2003.0,WYOMING,59.40416666666667,2
2004.0,ALABAMA,35.63529411764706,3
2004.0,ALASKA,51.69166666666666,4
2004.0,ARIZONA,51.76875,2
2004.0,ARKANSAS,38.23552631578948,4
2004.0,CALIFORNIA,58.75254237288136,11
2004.0,COLORADO,62.03114754098361,4
2004.0,CONNECTICUT,65.81111111111112,1
2004.0,DELAWARE,56.575,1
2004.0,FLORIDA,51.70882352941176,5
2004.0,GEORGIA,39.11,5
2004.0,IDAHO,47.144444444444446,3
2004.0,ILLINOIS,51.620388349514556,3
2004.0,INDIANA,47.92043010752688,2
2004.0,IOWA,57.662,1
2004.0,KANSAS,46.43207547169811,1
2004.0,KENTUCKY,26.720661157024793,1
2004.0,MICHIGAN,58.69047619047619,4
2004.0,MINNESOTA,63.3625,2
2004.0,MISSISSIPPI,35.93493975903614,2
2004.0,MISSOURI,45.49224137931035,2
2004.0,MONTANA,60.12631578947368,2
2004.0,NEVADA,58.705555555555556,1
2004.0,NEW HAMPSHIRE,65.5,1
2004.0,NEW JERSEY,61.34090909090909,1
2004.0,NEW MEXICO,50.71764705882353,5
2004.0,NEW YORK,60.8984126984127,6
2004.0,NORTH CAROLINA,39.095049504950495,2
2004.0,NORTH DAKOTA,62.2537037037037,2
2004.0,OHIO,50.77640449438203,10
2004.0,OKLAHOMA,39.4474358974359,6
2004.0,OREGON,56.262162162162156,13
2004.0,PENNSYLVANIA,56.26176470588236,4
2004.0,SOUTH CAROLINA,41.98297872340426,2
2004.0,TENNESSEE,28.604166666666668,3
2004.0,TEXAS,44.84313725490196,17
2004.0,UTAH,27.77,5
2004.0,VIRGINIA,46.97076923076923,2
2004.0,WASHINGTON,56.9825,20
2004.0,WEST VIRGINIA,32.82142857142857,6
2004.0,WISCONSIN,67.27260273972603,4
2005.0,ALABAMA,36.675000000000004,3
2005.0,ARIZONA,51.975,4
2005.0,ARKANSAS,38.46052631578947,5
2005.0,CALIFORNIA,59.454237288135594,11
2005.0,COLORADO,62.268852459016394,6
2005.0,CONNECTICUT,66.25555555555556,1
2005.0,FLORIDA,51.88823529411765,12
2005.0,GEORGIA,39.87625,5
2005.0,IDAHO,46.91111111111111,2
2005.0,ILLINOIS,52.695145631067966,8
2005.0,KANSAS,47.013207547169806,2
