State,Location,2002 Both Sexes,2003 Both Sexes,2004 Both Sexes,2005 Both Sexes,2006 Both Sexes,2007 Both Sexes,2008 Both Sexes,2009 Both Sexes,2010 Both Sexes,2011 Both Sexes,2012 Both Sexes,"Percent Change 2002-2012, Both Sexes","Percent Change 2005-2012, Both Sexes"
National,United States,55.4,56.6,55.2,56.0,55.4,56.0,56.1,56.0,56.1,57.1,56.0,0.9,0.0
Alabama,Alabama,40.7,42.3,41.0,42.3,40.7,41.6,42.6,41.3,42.5,44.8,43.6,7.2,3.1
Alabama,Autauga County,39.4,40.6,39.2,40.7,38.8,40.6,41.2,40.8,42.5,43.6,42.5,7.9,4.5
Alabama,Baldwin County,54.0,54.9,53.1,54.4,53.1,54.2,55.1,53.6,54.6,57.0,55.7,3.2,2.2
Alabama,Barbour County,36.0,37.9,35.8,37.4,34.4,35.5,37.0,35.2,38.6,39.4,37.6,4.6,0.7
Alabama,Bibb County,31.1,33.3,32.3,33.9,32.0,33.1,34.2,33.3,34.4,36.7,35.8,15.3,5.7
Alabama,Blount County,31.9,34.1,33.1,34.5,32.5,33.3,34.1,32.3,33.5,36.0,34.9,9.4,1.4
Alabama,Bullock County,34.9,37.0,34.5,34.2,33.9,34.2,36.5,36.2,37.6,38.9,37.1,6.4,8.6
Alabama,Butler County,34.5,35.5,33.8,35.2,34.0,34.8,35.6,33.2,35.2,38.2,35.8,3.8,1.7
Alabama,Calhoun County,38.0,39.5,38.4,39.6,37.8,38.8,38.9,37.3,37.3,39.6,38.2,0.5,-3.6
Alabama,Chambers County,35.5,37.1,35.4,36.8,35.0,37.2,36.7,36.3,37.2,40.4,39.5,11.3,7.4
Alabama,Cherokee County,31.2,33.0,31.6,32.4,30.4,30.8,31.9,30.3,30.7,31.5,31.6,1.3,-2.4
Alabama,Chilton County,30.6,32.2,31.1,31.8,29.9,31.1,31.6,30.6,31.8,34.0,32.3,5.6,1.6
Alabama,Choctaw County,29.5,30.1,29.2,30.3,29.7,30.9,31.5,31.2,33.3,33.2,33.7,14.4,11.4
Alabama,Clarke County,33.1,34.1,32.4,34.4,32.2,33.8,34.6,31.9,33.2,34.7,35.0,6.0,2.0
Alabama,Clay County,28.9,30.1,29.3,30.1,28.7,29.3,29.8,28.5,29.8,32.3,31.0,7.1,2.9
Alabama,Cleburne County,29.4,30.4,29.5,31.2,29.6,30.6,30.8,29.8,31.0,32.2,30.5,3.7,-2.1
Alabama,Coffee County,39.4,40.7,39.1,40.2,38.9,38.8,40.2,40.2,40.5,43.4,41.7,5.8,3.7
Alabama,Colbert County,32.8,34.8,34.6,36.7,34.8,35.2,36.2,34.0,34.7,37.1,37.2,13.3,1.5
Alabama,Conecuh County,31.7,33.6,32.4,34.5,33.6,35.1,36.5,35.6,37.2,39.5,37.2,17.2,7.7
Alabama,Coosa County,33.8,35.8,34.6,34.6,33.1,33.7,34.7,33.4,34.3,35.1,35.2,4.1,1.9
Alabama,Covington County,33.5,35.2,33.8,35.5,34.4,34.7,35.8,35.2,37.4,38.6,37.6,12.1,5.7
Alabama,Crenshaw County,32.0,32.2,30.5,30.8,30.1,30.9,31.5,31.4,32.5,34.7,32.4,1.0,5.3
Alabama,Cullman County,32.6,34.3,33.1,34.0,31.8,32.5,32.9,30.2,31.5,34.2,33.5,3.0,-1.4
Alabama,Dale County,41.0,42.5,40.1,41.1,38.8,39.2,40.4,40.1,40.9,42.0,40.0,-2.5,-2.5
Alabama,Dallas County,38.8,40.3,39.1,38.2,38.2,38.7,39.7,36.6,38.1,40.6,39.0,0.4,2.0
Alabama,DeKalb County,29.8,31.7,30.5,31.0,30.0,30.4,31.0,28.1,29.4,31.2,31.3,5.0,0.9
Alabama,Elmore County,40.6,42.1,40.7,41.7,40.3,41.7,42.9,42.4,44.1,45.6,43.9,8.1,5.4
Alabama,Escambia County,32.5,34.2,33.2,34.7,33.7,34.8,35.9,36.2,37.0,40.1,37.9,16.4,9.0
Alabama,Etowah County,36.7,38.7,37.7,39.3,37.3,38.0,38.5,37.0,37.9,39.3,38.6,5.2,-1.9
Alabama,Fayette County,27.0,28.9,27.7,29.4,28.1,28.7,28.7,27.6,27.6,31.5,32.1,18.7,9.2
Alabama,Franklin County,26.3,28.6,28.6,29.7,28.6,28.1,28.6,27.0,28.8,31.8,31.2,18.5,5.2
Alabama,Geneva County,34.2,35.3,33.6,34.0,32.3,32.8,33.1,32.6,33.5,34.7,33.5,-2.0,-1.4
Alabama,Greene County,34.6,35.7,34.3,34.7,33.6,34.7,36.2,35.7,35.3,37.6,37.0,6.8,6.6
Alabama,Hale County,33.2,35.1,34.1,34.2,33.9,35.2,35.8,34.6,36.1,38.0,37.1,11.6,8.5
Alabama,Henry County,32.4,33.9,32.6,33.9,32.6,33.3,34.3,35.1,36.9,38.5,36.4,12.4,7.5
Alabama,Houston County,43.1,44.0,42.0,43.1,41.0,42.1,42.8,42.3,43.2,44.8,42.4,-1.6,-1.5
Alabama,Jackson County,29.1,31.3,30.4,31.2,30.2,30.5,31.4,29.4,30.1,32.7,33.2,14.2,6.4
Alabama,Jefferson County,48.3,50.0,48.5,49.4,47.7,48.4,49.9,48.2,49.6,52.1,50.7,4.9,2.6
Alabama,Lamar County,25.6,27.0,26.5,28.2,26.5,27.0,27.9,26.4,27.4,30.2,29.2,13.9,3.6
Alabama,Lauderdale County,31.1,33.6,33.4,34.7,33.4,34.2,35.7,34.8,35.8,38.9,37.4,20.1,7.7
Alabama,Lawrence County,25.9,27.8,27.3,28.5,27.4,28.3,28.8,27.3,28.6,31.0,29.9,15.7,5.1
Alabama,Lee County,48.2,49.6,47.4,47.2,46.3,47.6,49.9,48.8,49.8,51.0,48.1,-0.2,2.0
Alabama,Limestone County,31.6,34.2,33.8,35.5,33.8,35.3,36.5,34.7,36.4,39.1,39.3,24.4,10.7
Alabama,Lowndes County,35.8,37.0,35.4,36.0,34.9,35.6,37.1,35.6,36.9,39.5,38.2,6.7,6.3
Alabama,Macon County,41.5,42.9,41.0,41.3,40.4,41.4,42.5,39.9,42.2,44.1,41.8,0.7,1.2
Alabama,Madison County,45.3,47.8,46.8,48.9,46.9,47.9,48.6,47.3,48.1,50.2,50.7,11.8,3.6
Alabama,Marengo County,37.1,38.4,36.7,37.0,35.5,37.6,37.7,36.2,37.9,40.4,38.6,3.9,4.2
Alabama,Marion County,24.9,27.3,26.6,28.2,26.9,27.2,27.4,25.4,27.0,28.8,28.9,15.8,2.4
Alabama,Marshall County,34.2,36.6,36.0,37.1,35.6,35.8,36.8,35.4,36.8,39.4,38.1,11.4,2.7
Alabama,Mobile County,46.8,47.4,45.8,47.8,46.4,46.8,47.8,46.7,47.5,50.2,48.3,3.2,1.1
Alabama,Monroe County,33.7,34.8,33.7,34.5,32.8,33.5,34.3,32.6,32.5,35.1,36.1,7.2,4.4
Alabama,Montgomery County,47.5,48.7,46.7,48.4,46.7,47.6,48.8,48.3,49.5,51.2,49.8,4.9,2.8
Alabama,Morgan County,36.8,38.7,37.8,39.6,37.2,38.8,39.3,36.9,38.9,41.0,40.8,11.0,3.1
Alabama,Perry County,34.0,36.5,35.2,35.0,34.3,35.2,35.9,34.8,34.7,38.1,36.3,6.9,3.7
Alabama,Pickens County,29.5,30.9,29.7,31.0,29.5,30.5,30.6,28.7,30.6,32.5,32.3,9.5,4.1
Alabama,Pike County,37.4,39.6,38.0,37.9,36.2,37.2,39.6,38.8,39.6,42.5,39.9,6.7,5.2
Alabama,Randolph County,34.5,36.1,34.8,35.4,34.5,34.3,35.7,34.3,34.7,37.3,35.5,3.0,0.4
Alabama,Russell County,39.9,41.1,39.2,39.7,36.9,37.9,38.3,38.9,39.3,41.8,38.5,-3.5,-2.9
Alabama,Shelby County,48.4,50.3,49.1,50.5,48.8,49.9,51.3,50.4,51.2,53.5,52.0,7.4,2.9
Alabama,St. Clair County,36.4,38.6,37.8,39.1,38.0,38.5,38.8,37.2,38.9,39.9,39.3,7.7,0.3
Alabama,Sumter County,33.9,34.8,33.7,34.8,34.5,35.1,36.7,35.8,37.7,38.4,38.2,12.9,9.7
Alabama,Talladega County,34.8,36.7,35.8,37.0,35.5,36.6,37.2,36.2,37.2,38.6,38.2,9.7,3.3
Alabama,Tallapoosa County,37.5,38.9,37.6,38.3,36.3,37.4,37.8,37.7,38.2,40.3,37.5,0.0,-2.1
Alabama,Tuscaloosa County,43.0,44.5,43.1,43.6,42.3,43.5,44.6,42.9,45.2,47.3,46.4,7.8,6.3
Alabama,Walker County,30.5,32.1,30.8,32.2,30.2,30.1,31.3,30.4,30.3,33.1,32.8,7.5,1.7
Alabama,Washington County,30.3,31.6,30.9,32.2,30.2,31.5,31.7,30.7,31.3,33.3,31.6,4.3,-1.8
Alabama,Wilcox County,33.2,34.4,33.0,33.9,32.7,34.2,35.0,32.1,32.9,36.1,35.8,7.8,5.7
Alabama,Winston County,27.3,29.6,28.7,29.3,28.2,29.6,29.4,26.4,29.7,32.4,30.4,11.5,3.7
Alaska,Alaska,58.9,59.7,57.9,58.4,57.2,57.5,57.3,58.4,58.8,59.8,59.5,1.1,1.9
